ID,time,gFx,gFy,gFz,TgF
263,2.70838,-0.4589,0.8524,-0.1595,0.98
264,2.70878,-0.4589,0.8524,-0.1595,0.98
265,2.72527,-0.4567,0.8697,-0.1023,0.99
266,2.73697,-0.424,0.8756,-0.0662,0.98
267,2.74847,-0.4003,0.891,-0.0669,0.98
268,2.75922,-0.4,0.9015,-0.0974,0.99
269,2.76021,-0.4042,0.9037,-0.1091,1.0
270,2.77222,-0.4171,0.9115,-0.1556,1.01
271,2.78127,-0.4264,0.9147,-0.1519,1.02
272,2.79395,-0.4237,0.9171,-0.1087,1.02
273,2.80419,-0.4115,0.9081,-0.0784,1.0
274,2.81824,-0.4188,0.9098,-0.0429,1.0
275,2.83284,-0.4047,0.8964,-0.0175,0.98
276,2.83312,-0.4047,0.8964,-0.0175,0.98
277,2.84734,-0.4032,0.8888,-0.0031,0.98
278,2.85962,-0.4215,0.8979,-0.0219,0.99
279,2.86996,-0.4369,0.9057,-0.0542,1.01
280,2.88138,-0.4347,0.912,-0.0862,1.01
281,2.89381,-0.4271,0.8974,-0.1128,1.0
282,2.89448,-0.4271,0.8974,-0.1128,1.0
283,2.90424,-0.4347,0.8998,-0.1358,1.01
284,2.91544,-0.4523,0.8908,-0.1783,1.01
285,2.9261,-0.467,0.882,-0.1959,1.02
286,2.94084,-0.4753,0.8918,-0.1732,1.03
287,2.95394,-0.4472,0.8854,-0.1624,1.01
288,2.96098,-0.4367,0.8812,-0.1673,1.0
289,2.97061,-0.4359,0.8918,-0.169,1.01
290,2.98245,-0.4484,0.9064,-0.1683,1.03
291,2.99368,-0.4499,0.9152,-0.1387,1.03
292,3.00593,-0.4249,0.9247,-0.0921,1.02
293,3.01547,-0.3878,0.9245,-0.0468,1.0
294,3.0258,-0.3663,0.904,-0.0163,0.98
295,3.03894,-0.4096,0.8617,-0.0862,0.96
296,3.05074,-0.4345,0.7992,-0.1673,0.92
297,3.0515,-0.4406,0.7811,-0.192,0.92
298,3.0614,-0.4931,0.7188,-0.2831,0.92
299,3.07102,-0.554,0.646,-0.3163,0.91
300,3.0851,-0.554,0.429,-0.2626,0.75
301,3.09149,-0.6267,0.2903,-0.2257,0.73
302,3.10317,-1.0086,0.1234,-0.0298,1.02
303,3.11407,-1.4678,-0.1248,0.2297,1.49
304,3.12622,-1.9105,-0.7949,0.3745,2.1
305,3.13757,-2.3307,-2.0916,-0.9578,3.27
306,3.1477,-3.5624,-3.0461,-3.3661,5.77
307,3.16119,-6.2006,-3.0634,-6.3941,9.42
308,3.17065,-5.9834,-2.7402,-6.0895,8.97
309,3.18258,-3.5512,-2.6584,-4.4527,6.29
310,3.19302,-2.6028,-2.4028,-3.9099,5.28
311,3.20437,-3.4623,-2.1979,-4.0922,5.79
312,3.21671,-3.894,-2.524,-4.2485,6.29
313,3.21739,-3.7151,-2.7001,-4.1767,6.21
314,3.22773,-1.6743,-3.2908,-3.7961,5.3
315,3.23781,0.359,-3.6165,-3.3702,4.96
316,3.24802,2.0525,-4.1417,-2.1585,5.1
317,3.25967,4.6413,-5.2433,0.7244,7.04
318,3.27103,8.0079,-4.7833,6.07,11.13
319,3.28265,8.0079,-1.8771,7.9766,11.46
320,3.29578,8.0079,2.8798,2.6077,8.9
321,3.31027,8.0079,4.1787,-7.5084,11.75
322,3.31074,8.0079,4.1787,-7.5084,11.75
323,3.32686,4.5611,-3.9285,1.4641,6.2
324,3.338,-1.3286,-2.4292,7.1225,7.64
325,3.34823,0.3365,-1.698,5.5844,5.85
326,3.36081,2.4116,-0.8657,-0.7196,2.66
327,3.36153,2.4116,-0.8657,-0.7196,2.66
328,3.37148,2.2345,-0.556,-4.5756,5.12
329,3.38206,1.6012,-0.5357,-4.9689,5.25
330,3.39448,0.6834,-1.1559,-3.1926,3.46
331,3.40508,-0.3548,-0.9363,-2.2494,2.46
332,3.41545,-0.9221,-0.4521,-1.4782,1.8
333,3.42923,-1.0523,0.2426,-0.7211,1.3
334,3.44272,-0.6771,0.4293,-1.2498,1.48
335,3.44319,-0.6771,0.4293,-1.2498,1.48
336,3.46117,-0.7391,0.411,-2.6132,2.75
337,3.47189,-0.7555,0.2649,-2.8841,2.99
338,3.48263,-0.7801,0.1088,-3.0629,3.16
339,3.49583,-0.8869,-0.0295,-3.1391,3.26
340,3.49757,-0.9265,-0.0669,-3.093,3.23
341,3.50553,-1.0855,-0.1888,-2.7969,3.01
342,3.51665,-1.3152,-0.3254,-1.9968,2.41
343,3.52827,-1.3066,-0.4507,-1.4943,2.04
344,3.5392,-1.2873,-0.3967,-1.2495,1.84
345,3.55114,-1.182,-0.2064,-1.0775,1.61
346,3.56163,-0.9954,0.0611,-1.0419,1.44
347,3.57439,-0.6683,0.3252,-0.9161,1.18
348,3.58777,-0.1965,0.5048,-0.7016,0.89
349,3.5882,-0.1965,0.5048,-0.7016,0.89
350,3.60576,-0.0011,0.7215,-0.4653,0.86
351,3.61619,0.0199,0.8053,-0.3004,0.86
352,3.62825,-0.0395,0.8331,-0.1431,0.85
353,3.63924,-0.1584,0.8267,-0.0967,0.85
354,3.63985,-0.1584,0.8267,-0.0967,0.85
355,3.64947,-0.403,0.7515,-0.1309,0.86
356,3.66045,-0.5774,0.7183,-0.1001,0.93
357,3.67579,-0.5383,0.5898,0.012,0.8
358,3.68466,-0.4711,0.4955,-0.0034,0.68
359,3.69505,-0.4679,0.3714,-0.1966,0.63
360,3.70798,-0.5796,0.3264,-0.5051,0.84
361,3.71791,-0.6433,0.3487,-0.8267,1.1
362,3.72798,-0.6316,0.3562,-1.0441,1.27
363,3.74078,-0.5823,0.3929,-1.1433,1.34
364,3.7506,-0.5224,0.4256,-1.1259,1.31
365,3.76186,-0.4679,0.4464,-1.0514,1.23
366,3.77236,-0.4814,0.4662,-0.9693,1.18
367,3.78383,-0.5351,0.5021,-0.7929,1.08
368,3.78457,-0.5351,0.5021,-0.7929,1.08
369,3.79535,-0.55,0.5549,-0.6578,1.02
370,3.80524,-0.5175,0.5959,-0.6388,1.02
371,3.8168,-0.4005,0.657,-0.6637,1.02
372,3.82744,-0.2747,0.697,-0.7128,1.03
373,3.84229,-0.2053,0.7308,-0.8665,1.15
374,3.85414,-0.2864,0.7598,-0.9075,1.22
375,3.86136,-0.3238,0.7554,-0.8924,1.21
376,3.87185,-0.3512,0.7056,-0.8237,1.14
377,3.8837,-0.4074,0.6599,-0.6566,1.02
378,3.89539,-0.4474,0.6426,-0.4372,0.9
379,3.90563,-0.4052,0.6668,-0.2582,0.82
380,3.91758,-0.3238,0.7244,-0.1167,0.8
381,3.93032,-0.2512,0.7269,-0.1724,0.79
382,3.93077,-0.2512,0.7269,-0.1724,0.79
383,3.93875,-0.2588,0.7452,-0.2433,0.83
384,3.95317,-0.3355,0.7598,-0.3947,0.92
385,3.96575,-0.36,0.7242,-0.4805,0.94
386,3.97329,-0.3666,0.7117,-0.5064,0.95
387,3.98496,-0.3536,0.7,-0.5296,0.95
388,3.99555,-0.3087,0.7041,-0.5711,0.96
389,4.00731,-0.2429,0.7549,-0.5843,0.99
390,4.01756,-0.1938,0.7659,-0.5733,0.98
391,4.02985,-0.1772,0.7791,-0.5276,0.96
392,4.04033,-0.2107,0.8407,-0.49,1.0
393,4.05207,-0.2691,0.8864,-0.4912,1.05
394,4.06494,-0.3348,0.9052,-0.511,1.09
395,4.06536,-0.3348,0.9052,-0.511,1.09
396,4.08434,-0.3617,0.9467,-0.4377,1.1
397,4.08543,-0.3551,0.9435,-0.4223,1.09
398,4.09747,-0.2982,0.923,-0.3715,1.04
399,4.10743,-0.2659,0.9306,-0.3603,1.03
400,4.1275,-0.2337,0.9054,-0.4861,1.05
401,4.12784,-0.2351,0.9071,-0.502,1.06
402,4.13789,-0.2388,0.9101,-0.5428,1.09
403,4.151,-0.2107,0.9103,-0.5728,1.1
404,4.16052,-0.1765,0.8922,-0.5948,1.09
405,4.17444,-0.1565,0.8785,-0.5916,1.07
406,4.18576,-0.1479,0.8751,-0.563,1.05
407,4.19495,-0.1579,0.8619,-0.544,1.03
408,4.20726,-0.2017,0.8473,-0.4903,1.0
409,4.21737,-0.2368,0.8502,-0.4155,0.98
410,4.22698,-0.2449,0.8541,-0.3588,0.96
411,4.23892,-0.2053,0.8334,-0.3652,0.93
412,4.23925,-0.2053,0.8334,-0.3652,0.93
413,4.25066,-0.1841,0.8289,-0.3982,0.94
414,4.26195,-0.1948,0.8385,-0.4524,0.97
415,4.27461,-0.2068,0.8192,-0.5442,1.0
416,4.28552,-0.1875,0.8033,-0.596,1.02
417,4.29588,-0.1821,0.7811,-0.6053,1.0
418,4.30782,-0.2019,0.7679,-0.5826,0.98
419,4.32093,-0.2447,0.761,-0.5196,0.95
420,4.33523,-0.2539,0.7124,-0.4534,0.88
421,4.33564,-0.2539,0.7124,-0.4534,0.88
422,4.35083,-0.2657,0.7066,-0.406,0.86
423,4.36241,-0.241,0.665,-0.4035,0.81
424,4.36319,-0.241,0.665,-0.4035,0.81
425,4.37429,-0.1914,0.6106,-0.3681,0.74
426,4.38376,-0.1548,0.5734,-0.3378,0.68
427,4.39605,-0.1157,0.5089,-0.3219,0.61
428,4.40671,-0.1059,0.4774,-0.328,0.59
429,4.41751,-0.1054,0.4547,-0.361,0.59
430,4.43189,-0.0898,0.4315,-0.4084,0.6
431,4.44398,-0.0844,0.3638,-0.4443,0.58
432,4.4509,-0.0661,0.3262,-0.47,0.58
433,4.4621,0.0062,0.2761,-0.5254,0.59
434,4.47292,0.1022,0.2402,-0.563,0.62
435,4.48472,0.177,0.2732,-0.5399,0.63
436,4.49866,0.303,0.3721,-0.4499,0.66
437,4.49966,0.3446,0.3873,-0.4328,0.68
438,4.50798,0.5515,0.4254,-0.3886,0.8
439,4.51837,0.7408,0.5028,-0.3901,0.98
440,4.5294,0.9446,0.5412,-0.5691,1.23
441,4.54357,1.2157,0.5058,-0.9029,1.6
442,4.55488,1.3259,0.4803,-1.1589,1.83
443,4.56122,1.3137,0.4737,-1.2283,1.86
444,4.57438,1.099,0.4625,-1.3551,1.8
445,4.58562,0.8908,0.5324,-1.3223,1.68
446,4.5969,0.8622,0.5844,-1.272,1.64
447,4.60666,0.9504,0.644,-1.2478,1.7
448,4.61928,1.0457,0.87,-1.4662,2.0
449,4.62924,1.0469,1.0916,-1.9541,2.47
450,4.62958,1.0469,1.0916,-1.9541,2.47
451,4.6406,1.0198,1.2797,-2.5951,3.07
452,4.65149,0.7653,1.7446,-3.3131,3.82
453,4.66309,0.5691,2.2623,-3.7836,4.44
454,4.67706,0.1382,3.6496,-3.9585,5.39
455,4.6919,0.564,5.6377,-3.6099,6.72
456,4.69235,0.564,5.6377,-3.6099,6.72
457,4.7074,1.1383,7.9966,-2.4212,8.43
458,4.71867,1.2597,7.9966,-0.6366,8.12
459,4.72898,2.0068,7.9966,1.4465,8.37
460,4.74134,3.5536,7.9966,3.9655,9.61
461,4.75216,5.628,7.9966,6.2928,11.63
462,4.76367,7.5906,7.9966,7.0868,13.11
463,4.77697,8.0079,6.9412,5.6782,12.02
464,4.77746,8.0079,6.9412,5.6782,12.02
465,4.79246,8.0079,4.381,6.469,11.19
466,4.79789,8.0079,3.2844,7.5639,11.49
467,4.80764,8.0079,2.1929,7.9766,11.51
468,4.81777,8.0079,1.4368,7.9766,11.39
469,4.82792,8.0079,0.7645,7.9707,11.32
470,4.84004,8.0079,0.0956,6.1312,10.09
471,4.85137,8.0079,-0.6994,4.2491,9.09
472,4.86242,8.0079,-2.9789,-0.4109,8.55
473,4.87665,8.0079,-3.874,-3.2098,9.46
474,4.8857,7.9322,-4.6719,-0.7727,9.24
475,4.89708,6.5956,-6.0365,1.6923,9.1
476,4.91075,3.6152,-6.6744,3.8421,8.51
477,4.91128,3.6152,-6.6744,3.8421,8.51
478,4.92274,1.8968,-6.4049,4.0561,7.81
479,4.94012,0.2547,-5.4116,2.3438,5.9
480,4.95233,0.3314,-4.3665,1.2594,4.56
481,4.95403,0.5002,-4.1737,1.1587,4.36
482,4.96325,1.1649,-3.4875,0.9572,3.8
483,4.97411,1.2673,-2.6816,0.409,2.99
484,4.98467,1.203,-1.9511,-0.093,2.29
485,4.99619,1.6516,-1.2708,-0.5372,2.15
486,5.00688,1.8993,-0.6596,-0.7487,2.15
487,5.0184,2.1521,0.1066,-1.1594,2.45
488,5.0297,2.4255,0.6186,-1.7154,3.03
489,5.04402,2.4785,1.1072,-2.3115,3.57
490,5.05632,2.4353,1.3652,-2.5399,3.77
