time,gFx,gFy,gFz,TgF
3.815829,2.4519,6.5760,7.9766,10.62
3.816729,3.3851,5.9445,7.9766,10.51
3.830620,7.2015,3.6042,7.9766,11.33
3.846189,8.0077,4.1909,7.4628,11.72
3.850128,8.0077,4.8767,6.5831,11.46
3.860564,8.0077,5.9232,5.9503,11.60
3.871604,8.0077,6.7583,6.5269,12.34
3.883441,8.0077,7.0050,7.9766,13.30
3.895486,8.0077,4.8247,7.9766,12.29
3.905185,8.0077,1.5027,7.9766,11.40
3.916745,8.0077,-3.3944,4.8119,9.94
3.927825,8.0077,-4.9459,4.7729,10.55
3.940959,7.1157,-5.9984,7.2354,11.79
3.941432,7.1157,-5.9984,7.2354,11.79
3.956709,8.0077,-7.0901,3.0843,11.13
3.961213,7.9532,-6.9592,0.9242,10.61
3.971339,5.6871,-6.4843,-2.5827,9.00
3.982172,4.0821,-6.5708,-3.7719,8.61
3.993739,2.8924,-6.3743,-2.8462,7.56
4.005616,2.0327,-5.3583,-2.7827,6.37
4.017620,1.4764,-3.5498,-2.8700,4.80
4.027742,2.0368,-1.9328,-2.2353,3.59
4.039618,2.1145,-0.2367,-0.7885,2.27
4.049579,2.1661,1.5166,0.7845,2.76
4.061878,1.7713,3.5541,2.1215,4.50
4.072190,1.0501,3.9415,2.1916,4.63
4.085665,0.1274,2.7740,1.1827,3.02
4.086182,0.1274,2.7740,1.1827,3.02
4.104340,-1.0572,0.8121,-0.2897,1.36
4.118687,-0.7670,-0.5906,-1.2432,1.58
4.118844,-0.7670,-0.5906,-1.2432,1.58
4.126118,-0.4474,-0.6151,-1.5258,1.70
4.136967,-0.2237,-0.1473,-1.3040,1.33
4.148643,0.1518,0.3768,-0.6972,0.81
4.161304,0.0910,1.2755,0.2512,1.30
4.171994,0.4035,1.5870,0.8497,1.84
4.183064,0.7213,1.9630,1.4189,2.53
4.196857,0.3148,2.1323,1.1282,2.43
4.197679,0.1875,2.1174,0.9613,2.33
4.214069,-0.0375,2.1423,-0.2318,2.16
4.217795,0.0744,2.2048,-0.4131,2.24
4.227443,0.5749,2.5161,-1.0551,2.79
4.239210,0.7626,2.8068,-1.4540,3.25
4.249474,0.3847,2.9937,-1.1904,3.24
4.261794,-0.3045,2.9465,-0.3131,2.98
4.272293,-0.5681,2.8854,0.2961,2.96
4.283697,-0.5708,2.5256,0.6496,2.67
4.295469,-0.7467,2.2214,0.5617,2.41
4.306853,-0.9511,2.0038,0.3636,2.25
4.317256,-0.9367,1.7109,0.1249,1.95
4.330989,-0.6815,1.1197,-0.1319,1.32
4.331418,-0.6815,1.1197,-0.1319,1.32
4.345906,-0.9287,0.7227,-0.4201,1.25
4.350922,-1.0374,0.6135,-0.4812,1.30
4.361139,-1.1109,0.3736,-0.5587,1.30
4.372461,-0.9514,0.1506,-0.5403,1.10
4.383112,-0.7215,0.0431,-0.4771,0.87
4.394852,-0.4325,0.0382,-0.5741,0.72
4.407177,-0.4748,0.1586,-0.6940,0.86
4.417341,-0.5957,0.3091,-0.5802,0.89
4.428409,-0.6675,0.4405,-0.3437,0.87
4.439296,-0.5771,0.6079,-0.1172,0.85
4.452765,-0.4193,0.7176,-0.1314,0.84
4.469506,-0.4477,0.8761,-0.3642,1.05
4.470038,-0.4477,0.8761,-0.3642,1.05
4.474225,-0.4687,0.9196,-0.4065,1.11
4.494571,-0.5876,0.9978,-0.3928,1.22
4.495666,-0.6040,0.9904,-0.3664,1.22
4.506272,-0.6844,0.9430,-0.1609,1.18
4.517905,-0.7877,0.8844,0.0653,1.19
4.528974,-0.8806,0.7945,0.1161,1.19
4.540320,-0.9678,0.7400,0.0843,1.22
4.554026,-0.9585,0.7337,0.0491,1.21
4.570048,-0.7711,0.7530,-0.2179,1.10
4.572207,-0.7711,0.7530,-0.2179,1.10
4.582632,-0.6556,0.7525,-0.4392,1.09
4.594507,-0.5693,0.7229,-0.5973,1.10
4.605927,-0.5229,0.6858,-0.6825,1.10
4.617695,-0.5178,0.6567,-0.7057,1.09
4.629582,-0.5510,0.5869,-0.7341,1.09
4.640188,-0.6346,0.5746,-0.7160,1.12
4.641050,-0.6473,0.5764,-0.7096,1.12
4.650919,-0.6480,0.5705,-0.6759,1.10
4.665013,-0.6297,0.5421,-0.6185,1.04
4.679290,-0.7291,0.6062,-0.3354,1.01
4.682986,-0.7377,0.6118,-0.2697,1.00
4.694803,-0.7259,0.6042,0.0052,0.94
4.706389,-0.7088,0.6208,0.2062,0.96
4.717798,-0.6353,0.6694,0.3013,0.97
4.728148,-0.5095,0.6472,0.2724,0.87
4.739840,-0.3966,0.6308,0.0968,0.75
4.751097,-0.3604,0.6223,-0.2030,0.75
4.761316,-0.4010,0.6045,-0.4121,0.83
4.773432,-0.5105,0.6079,-0.5274,0.95
4.784908,-0.6082,0.6069,-0.4521,0.97
4.785817,-0.6272,0.6028,-0.4177,0.96
4.794851,-0.6590,0.5859,-0.3053,0.93
4.809683,-0.6651,0.5717,-0.0129,0.88
4.824435,-0.6197,0.5866,0.1312,0.86
4.829618,-0.5977,0.5861,0.1293,0.85
4.840008,-0.6077,0.5944,0.0665,0.85
4.850183,-0.6538,0.6408,-0.0122,0.92
4.862096,-0.6558,0.6978,-0.1082,0.96
4.873481,-0.5608,0.7141,-0.2091,0.93
4.884599,-0.4609,0.7349,-0.3017,0.92
4.894784,-0.4088,0.7571,-0.3811,0.94
4.906705,-0.3468,0.8055,-0.4497,0.99
4.918095,-0.3111,0.8719,-0.5313,1.07
4.918598,-0.3111,0.8719,-0.5313,1.07
4.931547,-0.2901,0.9330,-0.5694,1.13
4.948078,-0.2559,1.0151,-0.4966,1.16
4.951483,-0.2490,1.0276,-0.4856,1.16
4.961244,-0.2048,1.0615,-0.4524,1.17
4.973230,-0.1633,1.1072,-0.4131,1.19
4.984568,-0.1130,1.1949,-0.4131,1.27
4.995347,-0.0505,1.2347,-0.4732,1.32
5.008241,-0.0238,1.2968,-0.5399,1.40
5.018615,-0.0683,1.3429,-0.5296,1.45
5.028548,-0.1293,1.3654,-0.4883,1.46
5.039942,-0.1992,1.3542,-0.4426,1.44
5.051301,-0.2410,1.3471,-0.3703,1.42
5.051782,-0.2410,1.3471,-0.3703,1.42
5.062123,-0.2207,1.3439,-0.2890,1.39
5.076636,-0.1101,1.3407,-0.2382,1.37
5.096531,0.0869,1.2904,-0.2299,1.31
5.096846,0.0869,1.2904,-0.2299,1.31
5.106448,0.1210,1.2680,-0.2540,1.30
5.117546,0.1245,1.2215,-0.3122,1.27
5.128748,0.1193,1.1605,-0.3566,1.22
