time,gFx,gFy,gFz,TgF
4.127499,-0.2337,0.9054,-0.4861,1.05
4.127835,-0.2351,0.9071,-0.502,1.06
4.137886,-0.2388,0.9101,-0.5428,1.09
4.151002,-0.2107,0.9103,-0.5728,1.1
4.160524,-0.1765,0.8922,-0.5948,1.09
4.174442,-0.1565,0.8785,-0.5916,1.07
4.185757,-0.1479,0.8751,-0.563,1.05
4.194949,-0.1579,0.8619,-0.544,1.03
4.207261,-0.2017,0.8473,-0.4903,1
4.217367,-0.2368,0.8502,-0.4155,0.98
4.226983,-0.2449,0.8541,-0.3588,0.96
4.238916,-0.2053,0.8334,-0.3652,0.93
4.239249,-0.2053,0.8334,-0.3652,0.93
4.25066,-0.1841,0.8289,-0.3982,0.94
4.261954,-0.1948,0.8385,-0.4524,0.97
4.274607,-0.2068,0.8192,-0.5442,1
4.285524,-0.1875,0.8033,-0.596,1.02
4.295876,-0.1821,0.7811,-0.6053,1
4.307824,-0.2019,0.7679,-0.5826,0.98
4.320932,-0.2447,0.761,-0.5196,0.95
4.335232,-0.2539,0.7124,-0.4534,0.88
4.335639,-0.2539,0.7124,-0.4534,0.88
4.350825,-0.2657,0.7066,-0.406,0.86
4.362411,-0.241,0.665,-0.4035,0.81
4.363187,-0.241,0.665,-0.4035,0.81
4.374294,-0.1914,0.6106,-0.3681,0.74
4.383755,-0.1548,0.5734,-0.3378,0.68
4.396046,-0.1157,0.5089,-0.3219,0.61
4.40671,-0.1059,0.4774,-0.328,0.59
4.417507,-0.1054,0.4547,-0.361,0.59
4.431893,-0.0898,0.4315,-0.4084,0.6
4.443984,-0.0844,0.3638,-0.4443,0.58
4.450897,-0.0661,0.3262,-0.47,0.58
4.462098,0.0062,0.2761,-0.5254,0.59
4.472924,0.1022,0.2402,-0.563,0.62
4.484718,0.177,0.2732,-0.5399,0.63
4.498661,0.303,0.3721,-0.4499,0.66
4.499657,0.3446,0.3873,-0.4328,0.68
4.507984,0.5515,0.4254,-0.3886,0.8
4.518367,0.7408,0.5028,-0.3901,0.98
4.529396,0.9446,0.5412,-0.5691,1.23
4.54357,1.2157,0.5058,-0.9029,1.6
4.554875,1.3259,0.4803,-1.1589,1.83
4.561215,1.3137,0.4737,-1.2283,1.86
4.574375,1.099,0.4625,-1.3551,1.8
4.585623,0.8908,0.5324,-1.3223,1.68
4.596901,0.8622,0.5844,-1.272,1.64
4.606664,0.9504,0.644,-1.2478,1.7
4.619284,1.0457,0.87,-1.4662,2
4.629236,1.0469,1.0916,-1.9541,2.47
4.629575,1.0469,1.0916,-1.9541,2.47
4.640603,1.0198,1.2797,-2.5951,3.07
4.651494,0.7653,1.7446,-3.3131,3.82
4.663094,0.5691,2.2623,-3.7836,4.44
4.677062,0.1382,3.6496,-3.9585,5.39
4.691905,0.564,5.6377,-3.6099,6.72
4.692349,0.564,5.6377,-3.6099,6.72
4.707401,1.1383,7.9966,-2.4212,8.43
4.718669,1.2597,7.9966,-0.6366,8.12
4.728976,2.0068,7.9966,1.4465,8.37
4.741336,3.5536,7.9966,3.9655,9.61
4.752163,5.628,7.9966,6.2928,11.63
4.763666,7.5906,7.9966,7.0868,13.11
4.776972,8.0079,6.9412,5.6782,12.02
4.777455,8.0079,6.9412,5.6782,12.02
4.792456,8.0079,4.381,6.469,11.19
4.797893,8.0079,3.2844,7.5639,11.49
4.807639,8.0079,2.1929,7.9766,11.51
4.817771,8.0079,1.4368,7.9766,11.39
4.827925,8.0079,0.7645,7.9707,11.32
